pl_name,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
"WASP-186 b",2020,"SuperWASP",0,"5.026799",0.06,12.442,1341.2426,"0.33","1378.39678227","278.514"
"HD 27894 c",2017,"La Silla Observatory",0,"36.07",0.198,8.24,51.48846,"0.015",,"43.8214"
"HD 30177 c",2016,"Multiple Observatories",0,"12085.45186",10.258,12.7,1954.6447,"0.039",,"55.5867"
"HD 60292 b",2020,"Bohyunsan Optical Astronomical Observatory",0,"495.4",1.5,12.7,2065.895,"0.27",,"315.211"
"OGLE-2013-BLG-0911L b",2019,"OGLE",0,,0.39,12.5,3020,,,"3220"
"OGLE-2013-BLG-0341L B b",2014,"OGLE",0,,0.702,1.16,1.66,,,"911"
"Kepler-464 b",2016,"Kepler",0,"7.25696522",0.0765,3.3,10.9,"0","1163","667.604"
"Kepler-993 b",2016,"Kepler",0,"22.08557563",0.13,2.97,9.11,"0","352","324.423"
"OGLE-2005-BLG-390L b",2005,"OGLE",0,"3285",2.6,2.21,5.5,,"50","6600"
"Kepler-952 b",2016,"Kepler",0,"130.3546919",0.5183,7.65,45.4,"0","369","1304.25"
"Kepler-855 b",2016,"Kepler",0,"7.8866311",0.0762,8.35,52.7,"0","996","1506.58"
"TOI-2152 A b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"3.3773512",0.05064,14.359,899.45439,"0.057","1802","303.006"
"Kepler-1043 b",2016,"Kepler",0,"38.5053398",0.2159,2.55,7.04,"0","532","903.332"
"OGLE-2013-BLG-0132L b",2017,"OGLE",0,,3.6,11.6,92,,,"3900"
"OGLE-TR-211 b",2007,"OGLE",0,"3.67724",0.051,15.244,327.351,"0","1686","1515.26"
"TOI-5293 A b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"2.930289",0.034,11.9,170.4,"0.38","675","162.229"
"Kepler-1027 b",2016,"Kepler",0,"1.9078052",0.0295,0.89,0.64,"0","1268","405.104"
"GJ 896 A b",2022,"Very Long Baseline Array",0,"284.39",0.63965,13.3,718.2922,"0.35",,"6.26022"
"K2-411 b",2022,"K2",0,"3.2141",0.0511,0.99,0.937,,,"298.219"
"Oph 11 b",2006,"Gemini Observatory",0,"7300000",243,12.3,4449.62,,"2175","136.165592"
"TYC 1422-614-1 b",2014,"Multiple Observatories",0,"198.4",0.69,13.3,794.5,"0.06",,"672.41"
